iter	RMSE
0	13.61894993
1	13.54581313
2	13.47113725
3	13.40993077
4	13.35597109
5	13.30750847
6	13.26164147
7	13.2205068
8	13.184076
9	13.14768808
10	13.11215251
11	13.08379519
12	13.05479707
13	13.0248529
14	12.9988675
15	12.97136858
16	12.94974713
17	12.93099928
18	12.91329187
19	12.89261124
20	12.87611368
21	12.86083127
22	12.84657277
23	12.83277077
24	12.81989326
25	12.80863042
26	12.79676675
27	12.78557437
28	12.77690915
29	12.76649524
30	12.75747966
31	12.74560212
32	12.73365218
33	12.72442037
34	12.71580968
35	12.70835576
36	12.70160717
37	12.69232686
38	12.68540131
39	12.67866205
40	12.67308427
41	12.66941669
42	12.66182856
43	12.65541397
44	12.64931665
45	12.6429288
46	12.63864294
47	12.6335489
48	12.62664673
49	12.62078857
50	12.61311756
51	12.6086881
52	12.60355258
53	12.59760843
54	12.59192534
55	12.58732748
56	12.58352749
57	12.57986844
58	12.57488134
59	12.56973304
60	12.56497874
61	12.5601164
62	12.55533783
63	12.55030809
64	12.545104
65	12.54012581
66	12.5362563
67	12.53336767
68	12.52959227
69	12.52476748
70	12.51930979
71	12.51557136
72	12.51132168
73	12.50800066
74	12.50510279
75	12.5017215
76	12.49796747
77	12.49485103
78	12.49028401
79	12.48635663
80	12.48229578
81	12.47848263
82	12.4753124
83	12.47129769
84	12.46640737
85	12.46164664
86	12.458966
87	12.4535525
88	12.45034599
89	12.44655631
90	12.44359221
91	12.43930586
92	12.43616825
93	12.43370063
94	12.42995466
95	12.42626829
96	12.42405322
97	12.42073706
98	12.41659627
99	12.41294073
100	12.41028863
101	12.40604318
102	12.40273068
103	12.39807992
104	12.39522011
105	12.39229454
106	12.38793703
107	12.38356602
108	12.38049649
109	12.3782172
110	12.3748443
111	12.37229824
112	12.36867292
113	12.36611596
114	12.36463735
115	12.3611112
116	12.35863898
117	12.35712954
118	12.35182408
119	12.3475272
120	12.34364297
121	12.34148208
122	12.33623519
123	12.33130196
124	12.32885084
125	12.32669064
126	12.32290401
127	12.32026695
128	12.31698085
129	12.31359477
130	12.30981363
131	12.30454906
132	12.29987773
